report_id,company_name,isin,reported_at,pdf_path,pages_path,blocks_path,year_month,DATE,SYMBOL,COMPANY_NAME,TICKER,SECTOR,MOMENTUM,VALUE,SIZE,BETA,SEDOL,ISIN,RETURNS,report_type
f_qdrHUrEF,UNION PACIFIC CORP,US9078181081,2023-10-19,data/reports/UNION_PACIFIC_CORP/f_qdrHUrEF_file.pdf,data/reports/UNION_PACIFIC_CORP/f_qdrHUrEF_pages.txt,data/reports/UNION_PACIFIC_CORP/f_qdrHUrEF_blocks.txt,2023-10,2023-10-31,90781810,Union Pacific Corporation,UNP,Industrials,5.88162,-0.352,11.7397036974884,0.683836,2914734,US9078181081,0.0195452,Quarterly
f_rIjfYIuq,MARATHON OIL CORP,US5658491064,2023-08-03,data/reports/MARATHON_OIL_CORP/f_rIjfYIuq_file.pdf,data/reports/MARATHON_OIL_CORP/f_rIjfYIuq_pages.txt,data/reports/MARATHON_OIL_CORP/f_rIjfYIuq_blocks.txt,2023-08,2023-08-31,56584910,Marathon Oil Corporation,MRO,Energy,3.78705,2.29,9.67896978812034,1.5199,2910970,US5658491064,0.00692415,Quarterly
f_uSn7ObmD,UDR INC,US9026531049,2023-07-27,data/reports/UDR_INC/f_uSn7ObmD_file.pdf,data/reports/UDR_INC/f_uSn7ObmD_pages.txt,data/reports/UDR_INC/f_uSn7ObmD_blocks.txt,2023-07,2023-07-31,90265310,"UDR, Inc.",UDR,Real Estate,-8.5381,-0.376,9.49237790328438,0.729683,2727910,US9026531049,-0.0390462,Quarterly
f_vZtmjwMu,UDR INC,US9026531049,2023-02-13,data/reports/UDR_INC/f_vZtmjwMu_file.pdf,data/reports/UDR_INC/f_vZtmjwMu_pages.txt,data/reports/UDR_INC/f_vZtmjwMu_blocks.txt,2023-02,2023-02-28,90265310,"UDR, Inc.",UDR,Real Estate,-20.8169,-0.509,9.5591554561196,0.664427,2727910,US9026531049,0.00586987,Annual
f_8evUgh3KNLqAiOcpzKmdPW,VALERO ENERGY CORP,US91913Y1001,2024-02-22,data/reports/VALERO_ENERGY_CORP/f_8evUgh3KNLqAiOcpzKmdPW_file.pdf,data/reports/VALERO_ENERGY_CORP/f_8evUgh3KNLqAiOcpzKmdPW_pages.txt,data/reports/VALERO_ENERGY_CORP/f_8evUgh3KNLqAiOcpzKmdPW_blocks.txt,2024-02,2024-02-29,91913Y10,Valero Energy Corporation,VLO,Energy,7.74812,2.583,10.7425690644049,0.482122,2041364,US91913Y1001,0.0184306,Annual
f_JldERzYx,RTX CORP,US75513E1010,2023-07-25,data/reports/RTX_CORP/f_JldERzYx_file.pdf,data/reports/RTX_CORP/f_JldERzYx_pages.txt,data/reports/RTX_CORP/f_JldERzYx_blocks.txt,2023-07,2023-07-31,75513E10,RTX Corporation,RTX,Industrials,7.56438,1.014,11.7529235850616,0.558344,BM5M5Y3,US75513E1010,-0.102389,Quarterly
f_Mwjl9CIA,VALERO ENERGY CORP,US91913Y1001,2023-10-26,data/reports/VALERO_ENERGY_CORP/f_Mwjl9CIA_file.pdf,data/reports/VALERO_ENERGY_CORP/f_Mwjl9CIA_pages.txt,data/reports/VALERO_ENERGY_CORP/f_Mwjl9CIA_blocks.txt,2023-10,2023-10-31,91913Y10,Valero Energy Corporation,VLO,Energy,16.4857,2.303,10.6524920747318,1.2614,2041364,US91913Y1001,-0.103804,Quarterly
f_bEYuWRei9yJraKIVvXtUZe,RTX CORP,US75513E1010,2024-04-23,data/reports/RTX_CORP/f_bEYuWRei9yJraKIVvXtUZe_file.pdf,data/reports/RTX_CORP/f_bEYuWRei9yJraKIVvXtUZe_pages.txt,data/reports/RTX_CORP/f_bEYuWRei9yJraKIVvXtUZe_blocks.txt,2024-04,2024-04-30,75513E10,RTX Corporation,RTX,Industrials,0.291383,0.496,11.8218399948555,0.422486,BM5M5Y3,US75513E1010,0.0409105,Quarterly
f_c6ET8kxECDV5tybCMHRgyv,VALERO ENERGY CORP,US91913Y1001,2024-07-25,data/reports/VALERO_ENERGY_CORP/f_c6ET8kxECDV5tybCMHRgyv_file.pdf,data/reports/VALERO_ENERGY_CORP/f_c6ET8kxECDV5tybCMHRgyv_pages.txt,data/reports/VALERO_ENERGY_CORP/f_c6ET8kxECDV5tybCMHRgyv_blocks.txt,2024-07,2024-07-31,91913Y10,Valero Energy Corporation,VLO,Energy,25.4473,2.01,10.8661999631435,0.311437,2041364,US91913Y1001,0.0316408,Quarterly
f_dajfIcCuvPk4U2vi8LypCN,VALERO ENERGY CORP,US91913Y1001,2024-04-25,data/reports/VALERO_ENERGY_CORP/f_dajfIcCuvPk4U2vi8LypCN_file.pdf,data/reports/VALERO_ENERGY_CORP/f_dajfIcCuvPk4U2vi8LypCN_pages.txt,data/reports/VALERO_ENERGY_CORP/f_dajfIcCuvPk4U2vi8LypCN_blocks.txt,2024-04,2024-04-30,91913Y10,Valero Energy Corporation,VLO,Energy,53.8551,1.91,10.9109920832328,0.618357,2041364,US91913Y1001,-0.0633898,Quarterly
